PID,totalvolume,x,y,z
7923,2.685,297261.502,1999129.589,5395.758
9624,0.161,298321.446,1999129.698,5392.731
6282,0.292,296160.888,1999129.772,5399.458
5340,0.172,295744.41,1999130.775,5402.377
9276,0.383,297972.11,1999130.779,5398.569
5967,0.243,295964.076,1999130.805,5400.549
5653,0.737,295926.063,1999130.837,5401.233
9622,0.175,298338.075,1999130.887,5392.114
5343,1.043,295705.5,1999130.905,5402.638
5654,1.315,295792.729,1999130.964,5402.103
5968,0.405,296136.058,1999131.005,5399.898
5970,1.123,296013.891,1999131.417,5399.886
5341,0.817,295580.772,1999131.53,5404.166
5034,0.479,295536.387,1999131.958,5404.852
5339,0.105,295553.015,1999131.996,5404.625
4431,4.821,295052.66,1999133.68,5409.285
9971,0.295,298364.809,1999134.168,5391.036
8936,4.959,297856.975,1999134.217,5401.311
3006,0.132,293992.381,1999134.411,5407.583
9279,3.223,298065.078,1999135.296,5396.533
4730,4.304,295253.1,1999136.076,5408.195
9972,0.223,298396.239,1999136.557,5389.928
9626,2.247,298256.578,1999137.503,5393.709
6286,1.81,296244.165,1999138.331,5397.538
5342,2.286,295644.424,1999140.529,5402.812
5655,2.191,295859.396,1999140.565,5401.363
2728,0.187,293929.534,1999140.591,5406.09
3007,1.633,294046.218,1999140.665,5408.872
5969,1.911,296069.391,1999140.849,5399.405
5036,2.594,295469.72,1999140.964,5405.361
9973,0.748,298446.829,1999143.227,5388.001
2729,0.199,293892.369,1999143.775,5405.952
2730,0.177,293859.003,1999147.5,5405.655
7245,0.394,296780.068,1998915.563,5351.236
6921,0.761,296725.842,1998939.387,5359.508
6922,0.522,296692.509,1998959.338,5360.483
6923,0.174,296625.842,1998978.014,5361.42
6929,2.677,296683.333,1999002.009,5362.458
7252,1.387,296783.333,1999017.611,5351.986
6928,1.165,296616.667,1999020.685,5365.908
6926,2.702,296716.667,1999026.005,5360.497
6604,1.888,296516.667,1999068.663,5378.811
6924,2.098,296583.333,1999078.014,5374.867
7251,1.405,296783.333,1999084.278,5353.913
6927,2.223,296716.667,1999092.671,5362.411
3564,1.491,294529.247,1999093.09,5415.062
3567,1.838,294483.897,1999094.173,5414.937
3848,0.897,294562.29,1999094.629,5414.767
3852,2.35,294607.809,1999096.799,5414.07
3563,1.306,294371.317,1999098.09,5414.396
3849,1.444,294728.853,1999098.751,5413.227
4138,1.714,294811.237,1999099.152,5413.005
4133,0.173,294752.481,1999099.457,5413.133
4134,1.116,294770.908,1999099.608,5413.061
3279,0.238,294346.194,1999100.617,5414.119
4135,1.711,294926.144,1999101.474,5412.241
3282,1.625,294317.389,1999103.595,5413.938
8263,1.791,297511.48,1999106.215,5402.385
4428,0.779,294960.186,1999106.217,5411.662
8265,1.242,297387.427,1999106.318,5398.156
8262,0.539,297542.993,1999106.932,5402.72
8599,2.738,297583.631,1999107.328,5403.241
8598,2.028,297707.692,1999108.158,5404.267
7922,0.594,297328.168,1999108.223,5396.629
7581,0.157,297146.13,1999109.302,5397.578
3284,0.663,294208.964,1999109.717,5413.451
8596,0.764,297740.727,1999109.82,5404.12
7924,1.065,297198.434,1999110.117,5396.402
7921,0.146,297153.599,1999110.487,5397.67
4429,1.421,294987.485,1999111.693,5411.153
8934,2.028,297773.768,1999113.957,5403.77
4432,0.686,295013.292,1999116.319,5410.644
3281,0.963,294171.102,1999116.539,5412.808
7254,0.542,296816.667,1999117.611,5350.727
8937,1.311,297814.076,1999117.684,5403.115
4430,1.89,295119.327,1999119.13,5409.734
9623,0.269,298156.67,1999119.285,5396.158
9277,0.758,298131.745,1999120.039,5396.441
4728,0.704,295161.301,1999121.553,5409.379
8935,0.715,297913.873,1999121.66,5400.819
3004,0.545,294138.032,1999121.702,5412.161
9627,1.349,298196.581,1999122.044,5395.438
4731,1.524,295197.734,1999122.178,5409.337
3566,2.77,294404.65,1999122.973,5412.63
3565,2.903,294471.317,1999122.973,5412.816
4729,1.548,295319.766,1999123.926,5408.144
3851,2.926,294628.853,1999124.06,5412.125
3850,2.906,294695.52,1999124.06,5411.549
4137,3,294826.144,1999124.31,5411.202
4136,3.121,294892.811,1999124.31,5411.037
3005,0.394,294117.547,1999125.314,5411.668
6287,0.161,296296.426,1999125.96,5393.356
8933,0.436,297940.231,1999125.996,5399.885
6925,2.999,296650,1999126.005,5371.601
9280,0.645,298013.6,1999126.733,5397.934
9625,0.127,298304.807,1999126.846,5393.388
8264,4.68,297451.82,1999127.783,5399.031
9275,0.3,297956.922,1999127.895,5399.223
6285,0.403,296188.386,1999127.947,5399.204
3283,4.598,294254.529,1999128.095,5412.307
5035,2.695,295403.053,1999128.814,5406.95
8600,6.506,297650.298,1999128.828,5402.67
3008,0.648,294092.4,1999129.194,5410.705
2455,0.158,293668.674,1999159.557,5404.239
3009,3.514,294016.667,1999183.333,5404.382
3010,4.728,294083.333,1999183.333,5406.966
3285,5.427,294216.667,1999183.333,5408.013
3286,5.508,294283.333,1999183.333,5408.032
3568,5.622,294416.667,1999183.333,5407.604
3569,5.763,294483.333,1999183.333,5407.542
3853,5.779,294616.667,1999183.333,5406.869
3854,5.76,294683.333,1999183.333,5406.403
4139,5.838,294816.667,1999183.333,5406.066
4140,6.037,294883.333,1999183.333,5406.104
4433,6.345,295016.667,1999183.333,5405.492
4434,6.523,295083.333,1999183.333,5405.319
4732,6.642,295216.667,1999183.333,5404.996
4733,6.579,295283.333,1999183.333,5404.609
5037,6.292,295416.667,1999183.333,5403.33
5038,6.095,295483.333,1999183.333,5402.475
5344,5.555,295616.667,1999183.333,5400.647
5345,5.28,295683.333,1999183.333,5399.751
5656,5.166,295816.667,1999183.333,5398.618
5657,5.214,295883.333,1999183.333,5398.387
5971,4.726,296016.667,1999183.333,5396.667
5972,4.702,296083.333,1999183.333,5396.469
6288,4.459,296216.667,1999183.333,5395.913
6289,3.793,296283.333,1999183.333,5394.229
6930,1.595,296616.667,1999183.333,5376.795
6931,2.053,296683.333,1999183.333,5369.266
7257,0.176,296816.667,1999183.333,5351.791
7588,1.127,297083.333,1999183.333,5384.606
7925,3.795,297216.667,1999183.333,5391.162
7926,4.035,297283.333,1999183.333,5391.32
8266,4.827,297416.667,1999183.333,5392.896
8267,5.764,297483.333,1999183.333,5394.963
8601,7.026,297616.667,1999183.333,5397.823
8602,7.209,297683.333,1999183.333,5398.305
8938,6.966,297816.667,1999183.333,5397.639
8939,6.621,297883.333,1999183.333,5396.797
9281,5.433,298016.667,1999183.333,5393.597
9282,5.123,298083.333,1999183.333,5392.527
9628,4.588,298216.667,1999183.333,5390.61
9629,4.341,298283.333,1999183.333,5389.793
9977,3.244,298416.667,1999183.652,5386.454
2741,2.898,293883.333,1999183.805,5403.185
9978,2.6,298483.333,1999183.971,5384.438
2740,2.867,293816.667,1999184.276,5402.886
1409,4.448,292825.499,1999189.365,5411.415
1410,4.954,292887.75,1999189.422,5411.93
1660,4.81,293016.667,1999189.669,5409.518
1661,4.662,293083.333,1999189.859,5408.926
2465,2.398,293696.868,1999190.714,5402.347
1924,2.895,293205.801,1999191.658,5405.564
1925,2.705,293261.603,1999193.361,5404.651
2464,2.49,293643.737,1999196.915,5402.128
2187,2.735,293395.722,1999198.921,5403.046
