PID,totalvolume,x,y,z
7246,2.148,296844.046,1998926.176,5345.805
7249,0.282,296816.667,1998985.223,5346.473
7250,1.611,296883.333,1998987.112,5348.177
7255,1.505,296916.667,1999020.445,5353.043
7582,0.129,296981.398,1999074.895,5366.901
7584,0.272,297075.593,1999076.299,5385.802
7256,1.529,296916.667,1999085.223,5354.324
6603,3.081,296416.667,1999088.604,5381.561
7585,0.339,297012.797,1999096.955,5373.842
6602,0.863,296483.333,1999107.304,5381.182
7253,1.887,296883.333,1999117.611,5350.629
6283,0.246,296335.594,1999118.928,5390.094
6600,1.81,296383.333,1999121.949,5386.822
7586,0.251,297079.463,1999129.344,5386.23
6601,2.493,296450,1999140.65,5383.453
6605,1.673,296416.667,1999183.333,5382.5
6606,2.777,296483.333,1999183.333,5381.689
7258,1.564,296883.333,1999183.333,5354.087
7587,0.549,297016.667,1999183.333,5375.142
6611,0.39,296516.667,1999216.667,5377.781
7263,1.117,296916.667,1999216.667,5361.068
7590,0.686,296983.333,1999216.667,5370.554
7259,0.267,296783.333,1999283.333,5355.329
7264,0.125,296916.667,1999283.333,5364.613
7262,0.859,296816.667,1999316.667,5354.199
7261,0.512,296883.333,1999316.667,5359.57
10680,0.349,298847.989,1999326.777,5353.82
11022,0.156,299139.41,1999328.868,5351.441
11371,0.453,299289.447,1999333.177,5351.529
11028,3.441,299039.522,1999335.6,5352.038
11370,3.884,299222.781,1999338.758,5351.435
11712,0.278,299409.676,1999344.419,5351.764
1668,6.807,293016.667,1999383.333,5371.852
1669,6.752,293083.333,1999383.333,5371.285
1932,6.682,293216.667,1999383.333,5370.319
1933,6.647,293283.333,1999383.333,5369.909
2195,6.55,293416.667,1999383.333,5369.121
2196,6.502,293483.333,1999383.333,5368.742
2466,6.409,293616.667,1999383.333,5367.991
2467,6.371,293683.333,1999383.333,5367.635
2742,6.311,293816.667,1999383.333,5366.933
2743,6.288,293883.333,1999383.333,5366.581
3017,6.217,294016.667,1999383.333,5365.877
3018,6.164,294083.333,1999383.333,5365.525
3293,6.018,294216.667,1999383.333,5364.829
3294,5.933,294283.333,1999383.333,5364.487
3576,5.769,294416.667,1999383.333,5363.812
3577,5.7,294483.333,1999383.333,5363.477
3861,5.59,294616.667,1999383.333,5362.795
3862,5.534,294683.333,1999383.333,5362.463
4147,6.023,294816.667,1999383.333,5361.794
4148,6.703,294883.333,1999383.333,5361.477
4441,7.991,295016.667,1999383.333,5360.917
4442,8.354,295083.333,1999383.333,5360.629
4740,8.668,295216.667,1999383.333,5360
4741,8.704,295283.333,1999383.333,5359.665
5045,8.585,295416.667,1999383.333,5358.969
5046,8.482,295483.333,1999383.333,5358.62
5352,8.332,295616.667,1999383.333,5357.919
5353,8.32,295683.333,1999383.333,5357.574
5664,8.291,295816.667,1999383.333,5356.889
5665,8.206,295883.333,1999383.333,5356.563
5979,8.378,296016.667,1999383.333,5355.937
5980,8.262,296083.333,1999383.333,5355.56
6296,8.072,296216.667,1999383.333,5354.816
6297,8.016,296283.333,1999383.333,5354.469
6613,8,296416.667,1999383.333,5353.809
6614,8.038,296483.333,1999383.333,5353.508
6938,8.602,296616.667,1999383.333,5355.38
6939,9.096,296683.333,1999383.333,5357.407
7265,8.587,296816.667,1999383.333,5353.33
7266,8.553,296883.333,1999383.333,5352.44
7595,9.469,297016.667,1999383.333,5355.865
7596,9.369,297083.333,1999383.333,5354.554
7933,9.538,297216.667,1999383.333,5353.942
7934,9.707,297283.333,1999383.333,5354.097
8274,10.071,297416.667,1999383.333,5354.535
8275,10.264,297483.333,1999383.333,5354.798
8609,10.662,297616.667,1999383.333,5355.383
8610,10.872,297683.333,1999383.333,5355.734
8946,11.347,297816.667,1999383.333,5356.573
8947,11.511,297883.333,1999383.333,5356.465
9289,11.787,298016.667,1999383.333,5355.842
9290,11.941,298083.333,1999383.333,5355.58
9636,12.223,298216.667,1999383.333,5354.832
9637,12.375,298283.333,1999383.333,5354.475
9985,12.7,298416.667,1999383.333,5353.789
9986,12.869,298483.333,1999383.333,5353.445
10333,13.208,298616.667,1999383.333,5352.73
10334,13.371,298683.333,1999383.333,5352.331
10682,13.66,298816.667,1999383.333,5351.383
10683,13.797,298883.333,1999383.333,5350.896
11030,14.193,299016.667,1999383.333,5350.665
11031,14.389,299083.333,1999383.333,5350.58
11372,14.818,299216.667,1999383.333,5351.243
11373,4.803,299283.333,1999383.333,5351.678
11715,0.972,299416.667,1999383.987,5352.554
11716,0.816,299483.333,1999384.641,5352.944
1671,3.137,292983.333,1999416.667,5373.357
1674,13.894,293116.667,1999416.667,5371.264
1935,13.847,293183.333,1999416.667,5370.73
1938,13.762,293316.667,1999416.667,5369.92
2198,13.728,293383.333,1999416.667,5369.543
2201,13.637,293516.667,1999416.667,5368.817
2469,13.59,293583.333,1999416.667,5368.439
2472,13.516,293716.667,1999416.667,5367.731
2745,13.487,293783.333,1999416.667,5367.384
2748,13.438,293916.667,1999416.667,5366.689
3020,13.402,293983.333,1999416.667,5366.341
3023,13.295,294116.667,1999416.667,5365.647
3296,13.22,294183.333,1999416.667,5365.303
3299,13.051,294316.667,1999416.667,5364.621
3579,12.967,294383.333,1999416.667,5364.281
